No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
4395,MFAC,Megalith Financial Acquisition Corp.,Financial,Asset Management,USA,175.21M,100.49,10.35,0.68%,400
4396,MFC,Manulife Financial Corporation,Financial,Life Insurance,Canada,38.77B,9.55,19.90,1.63%,2071742
4397,MFD,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,Financial,Closed-End Fund - Equity,USA,97.87M,8.46,11.45,0.44%,35336
4398,MFDX,PIMCO RAFI Dynamic Multi-Factor International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,25.87,0.44%,454
4399,MFEM,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,Financial,Exchange Traded Fund,USA,-,-,24.02,0.74%,8234
4400,MFG,"Mizuho Financial Group, Inc.",Financial,Foreign Regional Banks,Japan,35.88B,6.37,2.83,-1.39%,428034
4401,MFGP,Micro Focus International plc,Technology,Application Software,United Kingdom,3.44B,2.66,10.32,0.88%,533921
4402,MFIN,Medallion Financial Corp.,Financial,Credit Services,USA,162.99M,20.59,6.65,-0.75%,31898
4403,MFL,BlackRock MuniHoldings Investment Quality Fund,Financial,Closed-End Fund - Debt,USA,524.48M,9.28,13.84,0.29%,78300
4404,MFM,MFS Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,303.96M,10.35,7.38,0.00%,56982
4405,MFMS,MFAM Small-Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,28.43,1.63%,40661
4406,MFNC,Mackinac Financial Corporation,Financial,Regional - Southwest Banks,USA,167.16M,11.86,15.28,-1.10%,2514
4407,MFSF,"MutualFirst Financial, Inc.",Financial,Regional - Midwest Banks,USA,327.58M,13.78,37.74,0.43%,8429
4408,MFT,BlackRock MuniYield Investment Quality Fund,Financial,Closed-End Fund - Debt,USA,122.80M,13.63,14.48,1.29%,35580
4409,MFUS,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.98,0.33%,268
4410,MFV,MFS Special Value Trust,Financial,Closed-End Fund - Debt,USA,49.78M,9.77,6.92,-1.68%,71975
4411,MG,"Mistras Group, Inc.",Services,Security & Protection Services,USA,296.30M,54.11,10.01,0.81%,74794
4412,MGA,Magna International Inc.,Services,Auto Parts Wholesale,Canada,16.36B,9.58,51.99,2.32%,965026
4413,MGC,Vanguard Mega Cap Index Fund ETF Shares,Financial,Exchange Traded Fund,USA,-,-,118.24,0.52%,86294
4414,MGEE,"MGE Energy, Inc.",Utilities,Diversified Utilities,USA,2.83B,32.78,81.84,-0.46%,36144
4415,MGEN,"Miragen Therapeutics, Inc.",Healthcare,Biotechnology,USA,42.51M,-,0.86,3.64%,2943253
4416,MGF,MFS Government Markets Income Trust,Financial,Closed-End Fund - Debt,USA,149.64M,10.31,4.59,0.22%,81838
4417,MGI,"MoneyGram International, Inc.",Financial,Credit Services,USA,160.92M,-,2.74,-8.67%,4221999
4418,MGIC,Magic Software Enterprises Ltd.,Technology,Application Software,Israel,534.47M,27.41,11.02,-1.56%,11431
4419,MGK,Vanguard Mega Cap Growth Index Fund ETF Shares,Financial,Exchange Traded Fund,USA,-,-,162.1,0.73%,352122
4420,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.85B,277.13,73.44,0.92%,96609
4421,MGM,MGM Resorts International,Services,Resorts & Casinos,USA,16.29B,96.08,32.09,0.22%,6104761
4422,MGNX,"MacroGenics, Inc.",Healthcare,Biotechnology,USA,534.85M,-,10.84,3.24%,363873
4423,MGP,MGM Growth Properties LLC,Financial,REIT - Hotel/Motel,USA,13.77B,43.02,33.73,-0.91%,1016947
4424,MGPI,"MGP Ingredients, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,576.42M,15.31,33.65,0.27%,101694
4425,MGRC,McGrath RentCorp,Services,Rental & Leasing Services,USA,1.97B,21.23,81.79,0.75%,168299
4426,MGTA,"Magenta Therapeutics, Inc.",Healthcare,Biotechnology,USA,495.65M,-,13.04,3.33%,55856
4427,MGTX,MeiraGTx Holdings plc,Healthcare,Biotechnology,USA,694.58M,-,17.5,-3.10%,115065
4428,MGU,Macquarie Global Infrastructure Total Return Fund Inc.,Financial,Closed-End Fund - Foreign,USA,334.77M,5.74,26.85,0.00%,68627
4429,MGV,Vanguard Mega Cap Value Index Fund ETF Shares,Financial,Exchange Traded Fund,USA,-,-,87.56,0.31%,149353
4430,MGY,Magnolia Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,2.36B,20.83,9.27,0.98%,2417828
4431,MGYR,"Magyar Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,72.46M,24.88,12.37,-1.07%,1494
4432,MHD,"BlackRock MuniHoldings Fund, Inc.",Financial,Closed-End Fund - Debt,USA,246.84M,9.81,17.39,-0.09%,26253
4433,MHE,BlackRock Massachusetts Tax-Exempt Trust,Financial,Asset Management,USA,32.96M,10.55,13.9,0.01%,2
4434,MHF,Western Asset Municipal High Income Fund Inc.,Financial,Closed-End Fund - Debt,USA,172.86M,11.73,7.99,0.01%,23568
4435,MHH,"Mastech Digital, Inc.",Services,Staffing & Outsourcing Services,USA,188.50M,17.32,17.23,6.69%,131869
4436,MHI,Pioneer Municipal High Income Trust,Financial,Closed-End Fund - Debt,USA,283.50M,8.86,12.45,0.48%,64765
4437,MHK,"Mohawk Industries, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,9.04B,13.08,131.33,-0.07%,778104
4438,MHLD,"Maiden Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,67.68M,-,0.81,-2.15%,49670
4439,MHN,"BlackRock MuniHoldings New York Quality Fund, Inc.",Financial,Closed-End Fund - Debt,USA,439.90M,9.01,14.13,0.00%,24519
4440,MHO,"M/I Homes, Inc.",Industrial Goods,Residential Construction,USA,1.20B,9.47,42.37,0.33%,200121
4441,MIC,Macquarie Infrastructure Corporation,Services,"Air Services, Other",USA,3.87B,79.00,44.87,0.54%,322105
4442,MICR,"Micron Solutions, Inc.",Healthcare,Medical Appliances & Equipment,USA,8.47M,-,2.93,-6.97%,36800
4443,MICT,"MICT, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,11.82M,-,1.04,0.00%,26202
4444,MIDD,The Middleby Corporation,Industrial Goods,Diversified Machinery,USA,6.37B,18.43,111.97,-0.28%,328800
4445,MIDF,iShares Edge MSCI Multifactor USA Mid-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,28.97,0.08%,154
4446,MIDU,Direxion Daily Mid Cap Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,51.48,1.22%,23125
4447,MIDZ,Direxion Daily Mid Cap Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,38.64,-1.53%,1263
4448,MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",Financial,Exchange Traded Fund,USA,193.79M,-,7.22,1.12%,147986
4449,MIK,"The Michaels Companies, Inc.",Services,"Specialty Retail, Other",USA,770.55M,2.86,4.95,1.12%,3013546
4450,MILN,Global X Millennials Thematic ETF,Financial,Exchange Traded Fund,USA,-,-,27.84,0.48%,16464
4451,MIME,Mimecast Limited,Technology,Application Software,United Kingdom,2.86B,-,48.4,-1.71%,860514
4452,MIN,MFS Intermediate Income Trust,Financial,Closed-End Fund - Debt,USA,445.40M,10.92,3.81,-0.78%,379653
4453,MINC,AdvisorShares Newfleet Multi-Sector Income ETF,Financial,Exchange Traded Fund,USA,-,-,48.76,-0.10%,31911
4454,MIND,"Mitcham Industries, Inc.",Technology,Scientific & Technical Instruments,USA,32.81M,-,2.6,-0.38%,4098
4455,MINDP,"Mitcham Industries, Inc.",Technology,Scientific & Technical Instruments,USA,299.91M,-,24.8,-0.67%,1054
4456,MINI,"Mobile Mini, Inc.",Consumer Goods,Packaging & Containers,USA,1.89B,23.04,43.36,0.74%,307041
4457,MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,Financial,Exchange Traded Fund,USA,-,-,101.88,0.01%,1054400
4458,MIRM,"Mirum Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,463.65M,-,18.09,4.99%,73230
4459,MIST,Milestone Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,491.46M,-,20.94,-1.23%,78702
4460,MITK,"Mitek Systems, Inc.",Technology,Application Software,USA,399.12M,131.49,9.73,-1.22%,320414
4461,MITO,Stealth BioTherapeutics Corp,Healthcare,Biotechnology,Cayman Islands,75.64M,-,2.15,-4.44%,269230
4462,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,537.90M,289.47,16.5,0.30%,171422
4463,MIXT,MiX Telematics Limited,Technology,Technical & System Software,South Africa,331.31M,18.24,13.77,-0.22%,40440
4464,MIY,"BlackRock MuniYield Michigan Quality Fund, Inc.",Financial,Closed-End Fund - Debt,USA,433.22M,11.46,14.65,0.18%,17123
4465,MJ,ETFMG Alternative Harvest ETF,Financial,Exchange Traded Fund,USA,-,-,16.53,0.92%,506571
4466,MJCO,Majesco,Technology,Application Software,USA,307.43M,43.03,7.1,-0.98%,6832
4467,MJJ,MicroSectors Cannabis ETNs,Financial,Exchange Traded Fund,USA,-,-,52.29,1.33%,6
4468,MJO,MicroSectors Cannabis 2X Leveraged ETNs,Financial,Exchange Traded Fund,USA,-,-,53.99,2.65%,464
4469,MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,21.83B,31.38,164.03,-0.53%,481173
4470,MKC-V,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,1.53B,31.41,164.58,-0.25%,19590
4471,MKD,Molecular Data Inc.,Basic Materials,Chemicals - Major Diversified,China,348.07M,-,3.07,3.42%,9191
4472,MKGI,"Monaker Group, Inc.",Services,Marketing Services,USA,24.25M,-,1.96,-1.55%,7960
4473,MKL,Markel Corporation,Financial,Property & Casualty Insurance,USA,18.41B,10.36,1336.68,0.75%,27608
4474,MKSI,"MKS Instruments, Inc.",Technology,Scientific & Technical Instruments,USA,6.54B,46.08,117.13,2.86%,299453
4475,MKTX,MarketAxess Holdings Inc.,Financial,Investment Brokerage - National,USA,12.63B,63.30,341.68,-1.58%,265407
4476,MLAB,"Mesa Laboratories, Inc.",Technology,Scientific & Technical Instruments,USA,1.16B,238.59,267.7,1.46%,23714
4477,MLCO,Melco Resorts & Entertainment Limited,Services,Resorts & Casinos,Hong Kong,10.87B,23.88,21.68,1.50%,2304943
4478,MLHR,"Herman Miller, Inc.",Consumer Goods,Business Equipment,USA,2.38B,11.41,40.06,-0.29%,528003
4479,MLI,"Mueller Industries, Inc.",Industrial Goods,Metal Fabrication,USA,1.90B,18.53,33.2,0.15%,121816
4480,MLM,"Martin Marietta Materials, Inc.",Industrial Goods,General Building Materials,USA,16.12B,44.02,258.67,0.57%,735147
4481,MLN,VanEck Vectors AMT-Free Long Municipal Index ETF,Financial,Exchange Traded Fund,USA,-,-,21.54,0.14%,32585
4482,MLND,"Millendo Therapeutics, Inc.",Healthcare,Biotechnology,USA,138.59M,-,9.19,-0.65%,144468
4483,MLNX,"Mellanox Technologies, Ltd.",Technology,Semiconductor - Broad Line,Israel,6.81B,33.98,123.14,0.60%,1607084
4484,MLP,"Maui Land & Pineapple Company, Inc.",Financial,Real Estate Development,USA,257.19M,104.44,12.95,0.00%,24124
4485,MLPA,Global X MLP ETF,Financial,Exchange Traded Fund,USA,-,-,7.16,-0.83%,1836550
4486,MLPB,UBS ETRACS Alerian MLP Infrastructure Index ETN Series B,Financial,Exchange Traded Fund,USA,-,-,17.81,-0.62%,54310
4487,MLPC,C-Tracks Exchange-Traded Notes Based on the Performance of the Miller/Howard MLP Fundamental Index,Financial,Exchange Traded Fund,USA,-,-,11.92,0.55%,1227
4488,MLPE,"C-Tracks ETNs on the Miller/Howard MLP Fundamental Index, Series B",Financial,Exchange Traded Fund,USA,-,-,17.31,0.00%,0
4489,MLPG,UBS ETRACS Alerian Natural Gas MLP Index ETN,Financial,Exchange Traded Fund,USA,-,-,15.85,-0.29%,1
4490,MLPI,UBS ETRACS Alerian MLP Infrastructure Index ETN,Financial,Exchange Traded Fund,USA,-,-,17.83,-0.39%,500789
4491,MLPO,Credit Suisse S&P MLP Index ETN,Financial,Exchange Traded Fund,USA,-,-,11.33,0.00%,0
4492,MLPQ,UBS ETRACS 2xMonthly Leveraged Alerian MLP Infrastructure Index ETN SeriesB,Financial,Exchange Traded Fund,USA,-,-,17.3,-1.93%,88231
4493,MLPX,Global X MLP & Energy Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,11.69,0.60%,347165
4494,MLPY,Morgan Stanley Cushing MLP High Income Index ETN,Financial,Exchange Traded Fund,USA,-,-,4.35,-1.02%,463
4495,MLPZ,UBS ETRACS 2xMonthly Leveraged S&P MLP Index ETN Series B,Financial,Exchange Traded Fund,USA,-,-,21.31,-0.06%,8738
4496,MLR,"Miller Industries, Inc.",Consumer Goods,Auto Parts,USA,392.93M,10.54,33.67,-0.38%,37615
4497,MLSS,Milestone Scientific Inc.,Healthcare,Medical Instruments & Supplies,USA,115.56M,-,2.49,13.70%,1429833
4498,MLTI,Credit Suisse X-Links Multi-Asset High Income ETN,Financial,Exchange Traded Fund,USA,-,-,28.6,0.00%,0
4499,MLVF,"Malvern Bancorp, Inc.",Financial,Savings & Loans,USA,162.15M,16.10,20.63,0.59%,1233
4500,MMAC,"MMA Capital Holdings, Inc.",Financial,Mortgage Investment,USA,184.82M,4.08,31.92,-1.02%,10511
4501,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,60.09B,34.76,118.48,-0.81%,1141949
4502,MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund,Financial,Closed-End Fund - Debt,USA,618.84M,-,22.42,-0.09%,44883
4503,MMI,"Marcus & Millichap, Inc.",Financial,Real Estate Development,USA,1.43B,17.62,36.77,-1.50%,62050
4504,MMIN,IQ MacKay Shields Municipal Insured ETF,Financial,Exchange Traded Fund,USA,-,-,26.75,0.18%,45830
4505,MMIT,IQ MacKay Shields Municipal Intermediate ETF,Financial,Exchange Traded Fund,USA,-,-,26.29,0.08%,480
4506,MMLP,Martin Midstream Partners L.P.,Basic Materials,Oil & Gas Pipelines,USA,104.09M,12.98,2.7,4.25%,202624
4507,MMM,3M Company,Industrial Goods,Diversified Machinery,USA,91.84B,20.39,159.34,0.29%,2282043
4508,MMP,"Magellan Midstream Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,13.89B,13.25,60.71,0.46%,936782
4509,MMS,"MAXIMUS, Inc.",Services,Business Services,USA,4.71B,19.39,72.82,-0.40%,293766
4510,MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,2.24B,105.45,41.02,1.71%,344789
4511,MMT,MFS Multimarket Income Trust,Financial,Closed-End Fund - Debt,USA,398.61M,7.85,6.23,0.00%,305046
4512,MMTM,SPDR S&P 1500 Momentum Tilt ETF,Financial,Exchange Traded Fund,USA,-,-,146.53,0.67%,2266
4513,MMU,Western Asset Managed Municipals Fund Inc.,Financial,Closed-End Fund - Debt,USA,605.85M,10.26,13.97,0.07%,46085
4514,MMX,Maverix Metals Inc.,Basic Materials,Industrial Metals & Minerals,Canada,591.52M,-,4.95,0.81%,58529
4515,MMYT,MakeMyTrip Limited,Services,General Entertainment,India,2.97B,-,27.8,-0.79%,210950
4516,MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,28.30M,13.91,1.78,-9.18%,79480
4517,MNA,IQ Merger Arbitrage ETF,Financial,Exchange Traded Fund,USA,-,-,33.22,0.30%,119385
4518,MNCL,Monocle Acquisition Corporation,Conglomerates,Conglomerates,USA,228.15M,-,10.24,0.10%,19040
4519,MNDO,MIND C.T.I. Ltd,Technology,Information Technology Services,Israel,49.04M,9.70,2.55,-0.78%,26912
4520,MNE,"BlackRock Muni New York Intermediate Duration Fund, Inc.",Financial,Closed-End Fund - Debt,USA,66.22M,13.46,15.73,0.16%,1270
4521,MNI,The McClatchy Company,Services,Publishing - Newspapers,USA,4.13M,-,0.75,0.00%,0
4522,MNK,Mallinckrodt plc,Healthcare,Drugs - Generic,United Kingdom,459.85M,-,4.98,7.56%,6486566
4523,MNKD,MannKind Corporation,Healthcare,Biotechnology,USA,297.17M,-,1.43,-2.72%,2091731
4524,MNLO,Menlo Therapeutics Inc.,Healthcare,Biotechnology,USA,132.83M,-,5.53,3.56%,304054
4525,MNOV,"MediciNova, Inc.",Healthcare,Biotechnology,USA,248.37M,-,5.76,-1.20%,50569
4526,MNP,Western Asset Municipal Partners Fund Inc.,Financial,Closed-End Fund - Debt,USA,151.62M,9.70,15.6,0.13%,12130
4527,MNPR,Monopar Therapeutics Inc.,Healthcare,Biotechnology,USA,116.32M,-,11.15,-7.29%,67654
4528,MNR,Monmouth Real Estate Investment Corporation,Financial,REIT - Industrial,USA,1.46B,30.20,14.95,-0.66%,332633
4529,MNRL,"Brigham Minerals, Inc.",Basic Materials,Independent Oil & Gas,USA,979.67M,49.63,17.37,2.66%,158616
4530,MNRO,"Monro, Inc.",Consumer Goods,Auto Parts,USA,2.05B,26.36,60.71,-1.35%,336217
4531,MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,38.09B,35.25,70.08,0.70%,3216543
4532,MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,3.88B,-,33.79,2.92%,885275
4533,MNTX,"Manitex International, Inc.",Industrial Goods,Diversified Machinery,USA,108.33M,-,5.66,1.07%,20389
4534,MO,"Altria Group, Inc.",Consumer Goods,Cigarettes,USA,85.22B,-,45.14,-0.18%,5867149
4535,MOAT,VanEck Vectors Morningstar Wide Moat ETF,Financial,Exchange Traded Fund,USA,-,-,56.53,0.36%,598328
4536,MOBL,"MobileIron, Inc.",Technology,Application Software,USA,497.42M,-,4.46,-0.67%,831723
4537,MOD,Modine Manufacturing Company,Consumer Goods,Auto Parts,USA,436.91M,31.32,8.52,1.19%,231118
4538,MODN,"Model N, Inc.",Technology,Application Software,USA,1.14B,-,34.26,3.72%,545222
4539,MOFG,"MidWestOne Financial Group, Inc.",Financial,Regional - Southwest Banks,USA,521.61M,11.04,32.04,0.44%,25317
4540,MOG-A,Moog Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,3.11B,17.26,91.38,-0.80%,113981
4541,MOG-B,Moog Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,230.35M,17.19,91.63,-1.07%,4
4542,MOGA,Moog Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,-,-,-,-,0
4543,MOGO,Mogo Inc.,Financial,Credit Services,Canada,72.45M,-,2.65,0.76%,2936
4544,MOGU,MOGU Inc.,Services,"Specialty Retail, Other",China,206.28M,-,1.87,1.08%,65728
4545,MOH,"Molina Healthcare, Inc.",Healthcare,Health Care Plans,USA,9.69B,13.41,153.84,3.10%,776639
4546,MOHO,ECMOHO Limited,Services,"Specialty Retail, Other",China,229.76M,33.98,6.83,0.29%,527
4547,MOM,AGFiQ U.S. Market Neutral Momentum Fund,Financial,Exchange Traded Fund,USA,-,-,25.50,-0.16%,100
4548,MOMO,Momo Inc.,Technology,Internet Software & Services,China,6.63B,19.56,31.73,0.89%,4731977
4549,MOO,VanEck Vectors Agribusiness ETF,Financial,Exchange Traded Fund,USA,-,-,66.07,0.33%,14216
4550,MOR,MorphoSys AG,Healthcare,Biotechnology,Germany,3.94B,-,31.09,1.50%,134273
4551,MORF,"Morphic Holding, Inc.",Healthcare,Biotechnology,USA,471.23M,-,13.95,-9.53%,157612
4552,MORL,UBS ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Financial,Exchange Traded Fund,USA,-,-,15.61,-0.06%,134401
4553,MORN,"Morningstar, Inc.",Technology,Information & Delivery Services,USA,7.04B,42.80,165.72,2.40%,69676
4554,MORT,VanEck Vectors Mortgage REIT Income ETF,Financial,Exchange Traded Fund,USA,-,-,25.74,0.04%,96842
4555,MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,7.24B,-,18.41,0.88%,5000907
4556,MOSY,"MoSys, Inc.",Technology,Semiconductor - Integrated Circuits,USA,5.19M,-,2.36,1.29%,21602
4557,MOTI,VanEck Vectors Morningstar International Moat ETF,Financial,Exchange Traded Fund,USA,-,-,31.24,0.54%,55360
4558,MOTO,SmartETFs Smart Transportation & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,28.01,1.56%,4048
4559,MOTS,"Motus GI Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,60.86M,-,2.09,3.98%,67262
4560,MOV,"Movado Group, Inc.",Consumer Goods,"Recreational Goods, Other",USA,267.46M,7.68,16.18,-2.94%,138058
4561,MOXC,"Moxian, Inc.",Technology,Internet Information Providers,China,30.23M,108.24,1.84,0.00%,4800
4562,MPA,BlackRock MuniYield Pennsylvania Quality Fund,Financial,Closed-End Fund - Debt,USA,197.08M,10.34,14.77,0.00%,8859
4563,MPAA,"Motorcar Parts of America, Inc.",Consumer Goods,Auto Parts,USA,365.16M,-,19.28,3.54%,77424
4564,MPB,"Mid Penn Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,198.85M,11.11,23.23,-2.68%,11438
4565,MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,38.21B,14.46,57.69,2.16%,6990650
4566,MPLX,MPLX LP,Basic Materials,Oil & Gas Pipelines,USA,24.86B,10.92,23.7,-0.46%,2021090
4567,MPV,Barings Participation Investors,Financial,Closed-End Fund - Debt,USA,176.91M,21.05,16.78,1.27%,13287
4568,MPVD,Mountain Province Diamonds Inc.,Basic Materials,Industrial Metals & Minerals,Canada,157.60M,-,0.75,0.00%,0
4569,MPW,"Medical Properties Trust, Inc.",Financial,REIT - Healthcare Facilities,USA,12.07B,27.67,23.8,-1.37%,4340248
4570,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductor - Specialized,USA,8.15B,78.90,187.46,1.15%,285326
4571,MPX,Marine Products Corporation,Consumer Goods,Recreational Vehicles,USA,500.51M,17.59,14.76,1.23%,9984
4572,MQT,"BlackRock MuniYield Quality Fund II, Inc.",Financial,Closed-End Fund - Debt,USA,302.50M,7.68,13.41,0.25%,27831
4573,MQY,"BlackRock MuniYield Quality Fund, Inc.",Financial,Closed-End Fund - Debt,USA,478.50M,7.61,15.58,0.19%,46690
4574,MR,Montage Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,China,148.00M,1.89,3.93,16.27%,623748
4575,MRAM,"Everspin Technologies, Inc.",Technology,Semiconductor- Memory Chips,USA,75.35M,-,4.17,6.65%,340322
4576,MRC,MRC Global Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,909.69M,18.53,10.12,-4.35%,1494136
4577,MRCC,Monroe Capital Corporation,Financial,Mortgage Investment,USA,226.88M,14.04,11.16,0.27%,82676
4578,MRCY,"Mercury Systems, Inc.",Technology,Computer Peripherals,USA,4.79B,73.22,86.47,1.04%,403995
4579,MREO,Mereo BioPharma Group plc,Healthcare,Biotechnology,United Kingdom,41.27M,-,1.84,12.27%,88147
4580,MRGR,ProShares Merger ETF,Financial,Exchange Traded Fund,USA,-,-,38.78,0.09%,245
4581,MRIC,"MRI Interventions, Inc.",Healthcare,Medical Appliances & Equipment,USA,79.35M,-,5.14,0.00%,0
4582,MRIN,Marin Software Incorporated,Technology,Application Software,USA,9.44M,-,1.37,-4.20%,82710
4583,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - Major,USA,209.76B,21.37,82.0,-0.56%,11177714
4584,MRKR,"Marker Therapeutics, Inc.",Healthcare,Biotechnology,USA,127.09M,-,2.7,-3.23%,155208
4585,MRLN,Marlin Business Services Corp.,Financial,Mortgage Investment,USA,253.56M,9.62,21.13,2.03%,15431
4586,MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,6.80B,-,18.92,0.05%,3138460
4587,MRNS,"Marinus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,218.80M,-,2.61,-3.33%,1543910
4588,MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,8.75B,17.75,10.47,1.65%,17611677
4589,MRRL,UBS ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN Series B,Financial,Exchange Traded Fund,USA,-,-,15.67,0.06%,171559
4590,MRSN,"Mersana Therapeutics, Inc.",Healthcare,Biotechnology,USA,428.28M,-,9.12,7.17%,629642
4591,MRTN,"Marten Transport, Ltd.",Services,Trucking,USA,1.26B,20.70,22.94,3.38%,185864
4592,MRTX,"Mirati Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.29B,-,97.49,0.80%,394941
4593,MRUS,Merus N.V.,Healthcare,Biotechnology,Netherlands,559.68M,-,19.44,1.51%,91987
4594,MRVL,Marvell Technology Group Ltd.,Technology,Semiconductor - Integrated Circuits,Bermuda,16.97B,-,25.2,1.67%,6204446
4595,MS,Morgan Stanley,Financial,Investment Brokerage - National,USA,91.29B,10.85,56.31,1.42%,6024160
4596,MSA,MSA Safety Incorporated,Services,Security & Protection Services,USA,5.47B,42.37,140.72,0.20%,204294
4597,MSB,Mesabi Trust,Financial,Diversified Investments,USA,276.71M,8.59,20.79,0.82%,41322
4598,MSBF,MSB Financial Corp.,Financial,Savings & Loans,USA,89.13M,21.42,17.24,-0.06%,8901
4599,MSBI,"Midland States Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,657.42M,11.84,26.67,0.34%,33124
4600,MSC,Studio City International Holdings Limited,Services,Resorts & Casinos,Hong Kong,1.56B,83.14,19.87,0.10%,144
4601,MSCI,MSCI Inc.,Technology,Processing Systems & Products,USA,27.33B,50.40,332.11,1.53%,514222
4602,MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",Financial,Closed-End Fund - Debt,USA,202.85M,9.39,9.95,0.91%,89584
4603,MSEX,Middlesex Water Company,Utilities,Water Utilities,USA,1.18B,34.53,67.88,-2.26%,41027
4604,MSFT,Microsoft Corporation,Technology,Business Software & Services,USA,1411.86B,34.64,187.28,0.03%,29547644
4605,MSG,The Madison Square Garden Company,Services,Entertainment - Diversified,USA,7.52B,-,313.69,1.05%,167335
4606,MSGN,MSG Networks Inc.,Services,Entertainment - Diversified,USA,920.89M,5.95,14.81,-1.40%,425034
4607,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,31.84B,37.65,186.12,0.68%,776796
4608,MSM,"MSC Industrial Direct Co., Inc.",Services,Industrial Equipment Wholesale,USA,3.92B,14.05,71.03,-0.20%,308583
4609,MSN,Emerson Radio Corp.,Consumer Goods,Electronic Equipment,USA,18.23M,-,0.86,0.30%,892
4610,MSON,"Misonix, Inc.",Healthcare,Medical Appliances & Equipment,USA,302.90M,-,17.21,1.95%,127285
4611,MSTR,MicroStrategy Incorporated,Technology,Application Software,USA,1.53B,44.86,149.6,1.10%,45444
4612,MSUS,LHA Market State U.S. Tactical ETF,Financial,Exchange Traded Fund,USA,-,-,25.18,0.00%,0
4613,MT,ArcelorMittal,Basic Materials,Steel & Iron,Luxembourg,17.55B,-,16.81,1.14%,2960951
4614,MTB,M&T Bank Corporation,Financial,Regional - Northeast Banks,USA,22.31B,12.09,168.26,0.88%,750003
4615,MTBC,"MTBC, Inc.",Technology,Healthcare Information Services,USA,82.14M,-,7.18,-5.40%,230867
4616,MTBCP,"MTBC, Inc.",Technology,Healthcare Information Services,USA,324.25M,-,27.41,0.48%,6436
4617,MTC,"Mmtec, Inc.",Financial,Asset Management,China,36.62M,-,1.88,-0.08%,20777
4618,MTCH,"Match Group, Inc.",Technology,Internet Information Providers,USA,20.90B,41.42,75.92,-1.02%,1498207
